id,address,style,year,lat,lon
1,803 E Gorham St,Old Style,1837,43.08385,-89.378477
2,1721 Hickory Dr,Old Style,1842,43.086208,-89.477881
3,1035 Emerald St,Bungalow,1846,43.060754,-89.403806
4,222 N Pinckney St,Flat,1846,43.077423,-89.385875
5,5301 Milwaukee St,Old Style,1848,43.098522,-89.29079
6,1121 E Johnson St,Old Style,1849,43.0872389,-89.371535
7,131 N Bedford St,Old Style,1849,43.070619,-89.393786
8,506 E Washington Ave,Flat,1849,43.078265,-89.379657
9,3507 Milwaukee St,Flat,1849,43.097911,-89.327134
10,1113 E Mifflin St,Old Style,1850,43.085865,-89.370239
11,2014 Kendall Ave,Flat,1850,43.0723245,-89.4201654
12,203 S Baldwin St,Old Style,1850,43.085991,-89.363696
13,302 S Mills St,Flat,1850,43.064027,-89.404404
14,909 Jenifer St,Old Style,1850,43.078916,-89.368172
15,935 W Johnson St,Old Style,1850,43.0719833,-89.4021839
16,2510 Kendall Ave,Bungalow,1850,43.0716313,-89.4292617
17,811 Troy Dr,Old Style,1850,43.133529,-89.383007
18,4718 Odana Rd,Flat,1850,43.050199,-89.457303
19,719 E Gorham St,Old Style,1851,43.082908,-89.3796459
20,1427 Williamson St Unit 1/2,Old Style,1851,43.086179,-89.359518
21,207 N Frances St Unit 1/2,Old Style,1851,43.071199,-89.395642
22,2215 N Sherman Ave,Old Style,1852,43.122697,-89.363211
23,205 N Paterson St,Old Style,1853,43.084054,-89.375325
24,4629 Mineral Point Rd,Old Style,1853,43.060356,-89.455357
25,752 E Gorham St,Victorian georgian regency,1854,43.084362,-89.380259
26,3706 Nakoma Rd,Colonial,1854,43.05015,-89.4376
27,946 Spaight St,Victorian georgian regency,1854,43.079378,-89.3668
28,1234 E Dayton St,Apartment,1854,43.088518,-89.3691769
29,1014 Emerald St,Old Style,1856,43.061297,-89.403127
30,1140 Drake St,Bungalow,1857,43.0621497,-89.4056906
31,3542 Home Ave,Townhouse,1857,43.1090584,-89.3259575
32,3540 Home Ave Unit CDM,Townhouse,1857,43.0730517,-89.4012302
33,3540 Home Ave,Townhouse,1857,43.1092082,-89.3259651
34,5010 Risser Rd,Old Style,1858,43.078595,-89.4657019
35,510 N Carroll St,Mansion,1859,43.077416,-89.390365
36,739 Jenifer St,Flat,1859,43.077191,-89.371273
37,1127 E Dayton St,Flat,1860,43.086665,-89.370717
38,2652 Lake Mendota Dr,Old Style,1860,43.0894347,-89.4379231
39,5813 Raymond Rd,Old Style,1860,43.03154,-89.480919
40,523 E Gorham St,Old Style,1860,43.081106,-89.382386
41,1244 Rutledge St,Old Style,1860,43.082501,-89.360587
42,4501 Rahel St,Old Style,1860,43.074577,-89.315897
43,653 E Gorham St,Victorian georgian regency,1860,43.082378,-89.380584
44,3037 Waunona Way,Old Style,1860,43.044984,-89.3644769
45,1818 St Dunstan Dr,Old Style,1860,43.0892989,-89.4876589
46,3202 Portage Rd,Old Style,1860,43.137281,-89.315847
47,4010 Paunack Ave,Old Style,1860,43.060113,-89.442264
48,906 Hathaway Dr,Modern two story,1860,43.045848,-89.489237
49,515 Davidson St,Old Style,1860,43.082668,-89.316847
50,1033 Northport Dr,Bungalow,1860,43.136177,-89.378752
51,2562 Hoard St,Flat,1860,43.104716,-89.352302
52,940 Spaight St,Old Style,1860,43.079273,-89.36695
53,207 N Frances St,Old Style,1861,43.071199,-89.395642
54,126 S Hancock St,Old Style,1862,43.075736,-89.378672
55,1017 Drake St,Old Style,1862,43.061743,-89.403129
56,6010 S Highlands Ave,Old Style,1863,43.077951,-89.484075
57,4805 Mineral Point Rd,Old Style,1863,43.060552,-89.45935
58,1014 Williamson St Unit 1/2,Old Style,1864,43.081342,-89.36772
59,1318 Rutledge St,Old Style,1864,43.08316,-89.359654
60,949 E Gorham St,Old Style,1864,43.086038,-89.375302
61,121 N Bedford St,Old Style,1864,43.070277,-89.3938
62,907 E Johnson St,Old Style,1864,43.084471,-89.375614
63,125 N Bedford St,Old Style,1864,43.070447,-89.393709
64,952 Jenifer St,Old Style,1864,43.080114,-89.367429
65,1145 E Johnson St,Old Style,1864,43.087812,-89.370878
66,215 N Pinckney St,Flat,1864,43.077531,-89.385277
67,905 Midland St,Old Style,1864,43.054017,-89.397989
68,128 E Johnson St,Old Style,1864,43.0784809,-89.385211
69,1245 Jenifer St,Old Style,1864,43.083447,-89.361744
70,2245 Winnebago St,Flat,1864,43.096419,-89.351343
71,921 E Johnson St,Old Style,1864,43.084786,-89.3751659
72,837 E Gorham St,Old Style,1864,43.084501,-89.377369
73,633 E Gorham St,Old Style,1864,43.0819059,-89.381075
74,201 N Blount St,Old Style,1864,43.081606,-89.378803
