builds,year
1,1837
1,1842
2,1846
1,1848
4,1849
9,1850
3,1851
1,1852
2,1853
4,1854
1,1856
4,1857
1,1858
2,1859
16,1860
1,1861
2,1862
2,1863
18,1864
5,1865
3,1867
3,1868
8,1869
14,1870
3,1871
2,1872
2,1873
62,1874
20,1875
10,1876
1,1877
3,1878
31,1879
36,1880
5,1881
6,1882
6,1883
113,1884
33,1885
14,1886
9,1887
8,1888
85,1889
81,1890
12,1891
23,1892
13,1893
192,1894
54,1895
45,1896
31,1897
34,1898
230,1899
242,1900
105,1901
78,1902
48,1903
331,1904
98,1905
173,1906
88,1907
108,1908
255,1909
251,1910
103,1911
257,1912
110,1913
316,1914
223,1915
282,1916
180,1917
148,1918
84,1919
259,1920
203,1921
352,1922
468,1923
352,1924
733,1925
411,1926
596,1927
470,1928
459,1929
493,1930
206,1931
154,1932
103,1933
63,1934
161,1935
279,1936
278,1937
332,1938
297,1939
559,1940
454,1941
249,1942
106,1943
36,1944
85,1945
301,1946
502,1947
684,1948
746,1949
734,1950
859,1951
741,1952
841,1953
821,1954
1263,1955
1070,1956
831,1957
1041,1958
1048,1959
956,1960
1045,1961
669,1962
809,1963
1326,1964
833,1965
696,1966
631,1967
638,1968
834,1969
471,1970
593,1971
593,1972
469,1973
770,1974
337,1975
562,1976
820,1977
1017,1978
650,1979
590,1980
623,1981
221,1982
488,1983
674,1984
670,1985
532,1986
598,1987
581,1988
883,1989
553,1990
523,1991
681,1992
642,1993
826,1994
675,1995
655,1996
644,1997
715,1998
848,1999
876,2000
1164,2001
1355,2002
1353,2003
1402,2004
1155,2005
1287,2006
784,2007
543,2008
186,2009
193,2010
147,2011
163,2012
98,2013
